case,region,dice,iou,hd95,asd,status,precision,recall,prediction_voxels,target_voxels,hd95_unit,hd95_voxel,asd_voxel,official_dice,official_hd95_voxel,inference_seconds
case0021,edema,0.62152133580705,0.4508748317631225,9.651407104068909,1.5665104398554024,ok,0.5250783699059561,0.7613636363636364,638,440,voxel,9.651407104068909,1.5665104398554024,0.62152133580705,9.651407104068909,0.05566189000001032
case0021,scar,0.2875,0.1678832116788321,5.839404300103038,1.8980607586134017,ok,0.2893081761006289,0.2857142857142857,159,161,voxel,5.839404300103038,1.8980607586134017,0.2875,5.839404300103038,0.05566189000001032
case0021,edema_inclusive,0.6623748211731044,0.49518716577540106,7.902245355154796,1.3235438312898504,ok,0.5809284818067754,0.7703826955074875,797,601,voxel,7.902245355154796,1.3235438312898504,0.6623748211731044,7.902245355154796,0.05566189000001032
case0021,myocardial_ring,0.9158753956355156,0.8448063921327597,1.0,0.10904114358991607,ok,0.9066622691292876,0.9252776842813868,3032,2971,voxel,1.0,0.10904114358991607,0.9158753956355156,1.0,0.05566189000001032
case0026,normal_myocardium,0.7948303715670436,0.6595174262734584,1.4142135623730951,0.26969976291696457,ok,0.8238446081714669,0.7677902621722846,1493,1602,voxel,1.4142135623730951,0.26969976291696457,0.7948303715670436,1.4142135623730951,0.05736077700021269
case0026,edema,0.6887905604719764,0.5253093363329584,14.856803782780439,1.9975444604989945,ok,0.6414835164835165,0.7436305732484076,728,628,voxel,14.856803782780439,1.9975444604989945,0.6887905604719764,14.856803782780439,0.05736077700021269
case0026,scar,0.6597096188747731,0.4922139471902505,3.0,0.6260873929213183,ok,0.7919389978213508,0.5653188180404355,918,1286,voxel,3.0,0.6260873929213183,0.6597096188747731,3.0,0.05736077700021269
case0026,edema_inclusive,0.7955056179775281,0.6604477611940298,2.23606797749979,0.3683684644305894,ok,0.8602673147023087,0.7398119122257053,1646,1914,voxel,2.23606797749979,0.3683684644305894,0.7955056179775281,2.23606797749979,0.05736077700021269
case0026,myocardial_ring,0.8583020285499624,0.7517767833640432,1.0,0.21419115827688026,ok,0.9098438993309972,0.8122866894197952,3139,3516,voxel,1.0,0.21419115827688026,0.8583020285499624,1.0,0.05736077700021269
case0031,normal_myocardium,0.5351186281418839,0.36529826812059013,9.486832980505138,1.8118347506859784,ok,0.5510401548137397,0.5200913242009132,2067,2190,voxel,9.486832980505138,1.8118347506859784,0.5351186281418839,9.486832980505138,0.05710530499982269
case0031,edema,0.4555256064690027,0.2949389179755672,30.02490276142239,4.557380712700741,ok,0.6123188405797102,0.3626609442060086,828,1398,voxel,30.02490276142239,4.557380712700741,0.4555256064690027,30.02490276142239,0.05710530499982269
case0031,scar,0.2760603882099209,0.16013344453711426,9.643650760992955,2.908268814374026,ok,0.24742268041237114,0.3121951219512195,1552,1230,voxel,9.643650760992955,2.908268814374026,0.2760603882099209,9.643650760992955,0.05710530499982269
case0031,edema_inclusive,0.48801916932907347,0.3227680929741152,5.385164807134504,1.3676034603174405,ok,0.5134453781512605,0.4649923896499239,2380,2628,voxel,5.385164807134504,1.3676034603174405,0.48801916932907347,5.385164807134504,0.05710530499982269
case0031,myocardial_ring,0.8567728008634646,0.7494335347432024,1.4142135623730951,0.2431666473907997,ok,0.8925118057117157,0.823785803237858,4447,4818,voxel,1.4142135623730951,0.2431666473907997,0.8567728008634646,1.4142135623730951,0.05710530499982269
case0036,normal_myocardium,0.8747956848643348,0.7774549680418361,1.0,0.20782969611904753,ok,0.8634114863411486,0.8864840989399293,4649,4528,voxel,1.0,0.20782969611904753,0.8747956848643348,1.0,0.13588262800021766
case0036,edema,0.72552783109405,0.5692771084337349,3.0,0.549583536649622,ok,0.7941176470588235,0.6678445229681979,238,283,voxel,3.0,0.549583536649622,0.72552783109405,3.0,0.13588262800021766
case0036,scar,0.2957486136783734,0.1735357917570499,30.93541659651604,5.271804254320637,ok,0.1909307875894988,0.6557377049180327,419,122,voxel,30.93541659651604,5.271804254320637,0.2957486136783734,30.93541659651604,0.13588262800021766
