case,region,dice_M2,iou_M2,hd95_voxel_M2,precision_M2,recall_M2,official_dice_M2,official_hd95_voxel_M2,dice_M3,iou_M3,hd95_voxel_M3,precision_M3,recall_M3,official_dice_M3,official_hd95_voxel_M3,dice_diff (M3-M2),hd95_diff (M3-M2),official_dice_diff (M3-M2)
case0031,myocardial_ring,0.8567728008634646,0.7494335347432024,1.4142135623730951,0.8925118057117157,0.823785803237858,0.8567728008634646,1.4142135623730951,0.8756082081658557,0.7787394167450612,1.0,0.892795513373598,0.8590701535907015,0.8756082081658557,1.0,0.018835407302391083,-0.41421356237309515,0.018835407302391083
case0036,normal_myocardium,0.8747956848643348,0.7774549680418361,1.0,0.8634114863411486,0.8864840989399293,0.8747956848643348,1.0,0.8832186341979884,0.7908608266970042,1.0,0.8482814724425463,0.9211572438162544,0.8832186341979884,1.0,0.008422949333653618,0.0,0.008422949333653618
case0036,edema,0.72552783109405,0.5692771084337349,3.0,0.7941176470588235,0.6678445229681979,0.72552783109405,3.0,0.7027027027027027,0.5416666666666666,3.741657386773941,0.6109660574412533,0.8268551236749117,0.7027027027027027,3.741657386773941,-0.022825128391347205,0.7416573867739409,-0.022825128391347205
case0036,scar,0.2957486136783734,0.1735357917570499,30.93541659651604,0.1909307875894988,0.6557377049180327,0.2957486136783734,30.93541659651604,0.6296296296296297,0.4594594594594595,2.0,0.5743243243243243,0.6967213114754098,0.6296296296296297,2.0,0.33388101595125624,-28.93541659651604,0.33388101595125624
case0036,edema_inclusive,0.647834274952919,0.479108635097493,5.991547594742253,0.5235920852359208,0.8493827160493828,0.647834274952919,5.991547594742253,0.7927350427350427,0.6566371681415929,3.040569415042095,0.6986817325800376,0.9160493827160494,0.7927350427350427,3.040569415042095,0.14490076778212369,-2.9509781797001584,0.14490076778212369
case0036,myocardial_ring,0.898720578181463,0.8160695282014899,1.0,0.8671315491895967,0.9326981552807622,0.898720578181463,1.0,0.8952894711492149,0.8104290198814091,1.0,0.8529735682819384,0.9420231096695724,0.8952894711492149,1.0,-0.0034311070322481374,0.0,-0.0034311070322481374
case0041,normal_myocardium,0.5275427711975935,0.3582737487231869,6.782329983125268,0.8040114613180516,0.3925573587017347,0.5275427711975935,6.782329983125268,0.6803854319777887,0.5155940594059406,4.47213595499958,0.8171832091016085,0.5828203693340794,0.6803854319777887,4.47213595499958,0.15284266078019515,-2.3101940281256885,0.15284266078019515
case0041,edema,0.5184859154929577,0.3499702911467617,5.0990195135927845,0.4596176355833008,0.5946491670873296,0.5184859154929577,5.0990195135927845,0.5100420364315741,0.3423197492163009,8.102415174917844,0.4745762711864407,0.5512367491166078,0.5100420364315741,8.102415174917844,-0.008443879061383663,3.00339566132506,-0.008443879061383663
case0041,scar,0.4179597226807527,0.2641903171953255,4.123105625617661,0.3297733784839802,0.5705272645335737,0.4179597226807527,4.123105625617661,0.3797290163645961,0.2343614248479583,4.0,0.3114896073903002,0.4862550698512843,0.3797290163645961,4.0,-0.038230706316156604,-0.12310562561766059,-0.038230706316156604
case0041,edema_inclusive,0.6604414261460102,0.4930291508238276,3.0,0.5468603561387066,0.8335714285714285,0.6604414261460102,3.0,0.6799799297541395,0.5151284780294967,2.0,0.5876843018213357,0.8066666666666666,0.6799799297541395,2.0,0.019538503608129254,-1.0,0.019538503608129254
